chain,day,total_value
Avalanche,2021-12-25 00:00:00.000 UTC,21000000020156181660273739603
avalanche_c,2021-12-25 00:00:00.000 UTC,21000000020156181660273739603
Avalanche,2021-12-27 00:00:00.000 UTC,2174312360351225383
Gnosis,2021-12-27 00:00:00.000 UTC,21000000000000000000000000000
avalanche_c,2021-12-27 00:00:00.000 UTC,2174312360351225383
gnosis,2021-12-27 00:00:00.000 UTC,21000000000000000000000000000
Gnosis,2021-12-28 00:00:00.000 UTC,1358545017704273343
gnosis,2021-12-28 00:00:00.000 UTC,1358545017704273343
Avalanche,2021-12-30 00:00:00.000 UTC,1077221032632799134998
Gnosis,2021-12-30 00:00:00.000 UTC,1008985791887183425894
avalanche_c,2021-12-30 00:00:00.000 UTC,1077221032632799134998
gnosis,2021-12-30 00:00:00.000 UTC,1008985791887183425894
Gnosis,2021-12-31 00:00:00.000 UTC,21820030051806993867
gnosis,2021-12-31 00:00:00.000 UTC,21820030051806993867
Avalanche,2022-01-03 00:00:00.000 UTC,34404722367798740336
Gnosis,2022-01-03 00:00:00.000 UTC,13276520977513884586
avalanche_c,2022-01-03 00:00:00.000 UTC,34404722367798740336
gnosis,2022-01-03 00:00:00.000 UTC,13276520977513884586
Avalanche,2022-01-05 00:00:00.000 UTC,1300000000000000000
Gnosis,2022-01-05 00:00:00.000 UTC,204977806038523120
avalanche_c,2022-01-05 00:00:00.000 UTC,1300000000000000000
gnosis,2022-01-05 00:00:00.000 UTC,204977806038523120
Avalanche,2022-01-06 00:00:00.000 UTC,11792396955377319231
Gnosis,2022-01-06 00:00:00.000 UTC,739487569439650126
avalanche_c,2022-01-06 00:00:00.000 UTC,11792396955377319231
gnosis,2022-01-06 00:00:00.000 UTC,739487569439650126
Avalanche,2022-01-07 00:00:00.000 UTC,152350268791437006695
Gnosis,2022-01-07 00:00:00.000 UTC,1133949057587322411
avalanche_c,2022-01-07 00:00:00.000 UTC,152350268791437006695
gnosis,2022-01-07 00:00:00.000 UTC,1133949057587322411
Avalanche,2022-01-08 00:00:00.000 UTC,450147861465080296
avalanche_c,2022-01-08 00:00:00.000 UTC,450147861465080296
Avalanche,2022-01-09 00:00:00.000 UTC,2693351253276769
avalanche_c,2022-01-09 00:00:00.000 UTC,2693351253276769
Avalanche,2022-01-10 00:00:00.000 UTC,1329090173603783
Gnosis,2022-01-10 00:00:00.000 UTC,432613866915803166
avalanche_c,2022-01-10 00:00:00.000 UTC,1329090173603783
gnosis,2022-01-10 00:00:00.000 UTC,432613866915803166
Avalanche,2022-01-11 00:00:00.000 UTC,834089334980801
avalanche_c,2022-01-11 00:00:00.000 UTC,834089334980801
Avalanche,2022-01-12 00:00:00.000 UTC,5902227240787353
avalanche_c,2022-01-12 00:00:00.000 UTC,5902227240787353
Avalanche,2022-01-13 00:00:00.000 UTC,2670090622974062
Gnosis,2022-01-13 00:00:00.000 UTC,39439442099659206233
avalanche_c,2022-01-13 00:00:00.000 UTC,2670090622974062
gnosis,2022-01-13 00:00:00.000 UTC,39439442099659206233
Avalanche,2022-01-14 00:00:00.000 UTC,1140356011370326
avalanche_c,2022-01-14 00:00:00.000 UTC,1140356011370326
Avalanche,2022-01-15 00:00:00.000 UTC,4882738285032098
avalanche_c,2022-01-15 00:00:00.000 UTC,4882738285032098
Avalanche,2022-01-16 00:00:00.000 UTC,5000000000000
avalanche_c,2022-01-16 00:00:00.000 UTC,5000000000000
